,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,39, State-gov,77516, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K
1,50, Self-emp-not-inc,83311, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States, <=50K
2,38, Private,215646, HS-grad,9.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
3,53, Private,234721, 11th,7.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
4,28, Private,338409, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50K
5,37, Private,284582, Masters,14.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
6,49, Private,160187, 9th,5.0, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica, <=50K
7,52, Self-emp-not-inc,209642, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
8,31, Private,45781, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K
9,42, Private,159449, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K
10,37, Private,280464, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50K
11,30, State-gov,141297, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
12,23, Private,122272, Bachelors,13.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
13,32, Private,205019, Assoc-acdm,12.0, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
15,34, Private,245487, 7th-8th,4.0, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K
16,25, Self-emp-not-inc,176756, HS-grad,9.0, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K
17,32, Private,186824, HS-grad,9.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
18,38, Private,28887, 11th,7.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
19,43, Self-emp-not-inc,292175, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, >50K
20,40, Private,193524, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
21,54, Private,302146, HS-grad,9.0, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
22,35, Federal-gov,76845, 9th,5.0, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
23,43, Private,117037, 11th,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States, <=50K
24,59, Private,109015, HS-grad,9.0, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
25,56, Local-gov,216851, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
26,19, Private,168294, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28,39, Private,367260, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States, <=50K
29,49, Private,193366, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30,23, Local-gov,190709, Assoc-acdm,12.0, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States, <=50K
31,20, Private,266015, Some-college,10.0, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States, <=50K
32,45, Private,386940, Bachelors,13.0, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States, <=50K
33,30, Federal-gov,59951, Some-college,10.0, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
34,22, State-gov,311512, Some-college,10.0, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K
41,48, Private,242406, 11th,7.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
42,21, Private,197200, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
43,19, Private,544091, HS-grad,9.0, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
45,48, Self-emp-not-inc,265477, Assoc-acdm,12.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
46,31, Private,507875, 9th,5.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K
47,53, Self-emp-not-inc,88506, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
48,24, Private,172987, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
49,49, Private,94638, HS-grad,9.0, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50,25, Private,289980, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
51,57, Federal-gov,337895, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
52,53, Private,144361, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
53,44, Private,128354, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
54,41, State-gov,101603, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55,29, Private,271466, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K
56,25, Private,32275, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States, <=50K
58,47, Private,51835, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K
59,50, Federal-gov,251585, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
60,47, Self-emp-inc,109832, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
61,43, Private,237993, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
62,46, Private,216666, 5th-6th,3.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
63,35, Private,56352, Assoc-voc,11.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
64,41, Private,147372, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
65,30, Private,188146, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K
66,30, Private,59496, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States, <=50K
68,48, Private,149640, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
69,42, Private,116632, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
70,29, Private,105598, Some-college,10.0, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K
71,36, Private,155537, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
72,28, Private,183175, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
73,53, Private,169846, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
74,49, Self-emp-inc,191681, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
76,19, Private,101509, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
77,31, Private,309974, Bachelors,13.0, Separated, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
78,29, Self-emp-not-inc,162298, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
79,23, Private,211678, Some-college,10.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
80,79, Private,124744, Some-college,10.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
81,27, Private,213921, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
82,40, Private,32214, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
84,18, Private,309634, 11th,7.0, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K
85,31, Local-gov,125927, 7th-8th,4.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
86,18, Private,446839, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
87,52, Private,276515, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K
88,46, Private,51618, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
89,59, Private,159937, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
90,44, Private,343591, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K
91,53, Private,346253, HS-grad,9.0, Divorced, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
92,49, Local-gov,268234, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
93,33, Private,202051, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
94,30, Private,54334, 9th,5.0, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
95,43, Federal-gov,410867, Doctorate,16.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
96,57, Private,249977, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
97,37, Private,286730, Some-college,10.0, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
98,28, Private,212563, Some-college,10.0, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States, <=50K
100,34, Local-gov,226296, Bachelors,13.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
101,29, Local-gov,115585, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
102,48, Self-emp-not-inc,191277, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K
103,37, Private,202683, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
104,48, Private,171095, Assoc-acdm,12.0, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K
105,32, Federal-gov,249409, HS-grad,9.0, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
106,76, Private,124191, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
107,44, Private,198282, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
108,47, Self-emp-not-inc,149116, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
109,20, Private,188300, Some-college,10.0, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
110,29, Private,103432, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
111,32, Self-emp-inc,317660, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K
113,30, Private,194901, 11th,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
114,31, Local-gov,189265, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
115,42, Private,124692, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
116,24, Private,432376, Bachelors,13.0, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
117,38, Private,65324, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
118,56, Self-emp-not-inc,335605, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada, >50K
119,28, Private,377869, Some-college,10.0, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States, <=50K
120,36, Private,102864, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
121,53, Private,95647, 9th,5.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
122,56, Self-emp-inc,303090, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
123,49, Local-gov,197371, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
124,55, Private,247552, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States, <=50K
125,22, Private,102632, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States, <=50K
126,21, Private,199915, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
127,40, Private,118853, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
128,30, Private,77143, Bachelors,13.0, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany, <=50K
129,29, State-gov,267989, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
130,19, Private,301606, Some-college,10.0, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
131,47, Private,287828, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
132,20, Private,111697, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States, <=50K
133,31, Private,114937, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
135,39, Private,365739, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
136,28, Private,69621, Assoc-acdm,12.0, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
137,24, Private,43323, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States, <=50K
138,38, Self-emp-not-inc,120985, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States, <=50K
139,37, Private,254202, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
140,46, Private,146195, Assoc-acdm,12.0, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States, <=50K
141,38, Federal-gov,125933, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
142,43, Self-emp-not-inc,56920, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
143,27, Private,163127, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
144,20, Private,34310, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
145,49, Private,81973, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
146,61, Self-emp-inc,66614, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
147,27, Private,232782, Some-college,10.0, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
148,19, Private,316868, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico, <=50K
149,45, Private,196584, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States, >50K
150,70, Private,105376, Some-college,10.0, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
151,31, Private,185814, HS-grad,9.0, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States, <=50K
152,22, Private,175374, Some-college,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
153,36, Private,108293, HS-grad,9.0, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
154,64, Private,181232, 11th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States, <=50K
156,47, Local-gov,186009, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico, <=50K
157,34, Private,198183, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
158,33, Private,163003, Bachelors,13.0, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
159,21, Private,296158, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
161,48, Private,187715, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
162,23, Private,214542, Bachelors,13.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
